1;Dilwale Dulhania Le Jayenge;1995;Hindi;91;Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.;3h 10m;COMEDY,DRAMA,ROMANCE
2;The Shawshank Redemption;1994;English;86;Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.;2h 22m;DRAMA,CRIME
3;The Godfather;1972;English;86;Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.;2h 55m;DRAMA,CRIME
4;Your Name.;2016;Japanese;86;High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.;1h 46m;ROMANCE,ANIMATION,DRAMA
5;Spider-Man: Into the Spider-Verse;2018;English;85;Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson "Kingpin" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.;1h 57m;ACTION,ADVENTURE,ANIMATION,SCIENCE FICTION,COMEDY
6;Schindler's List;1993;English;85;The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.;3h 15m;DRAMA,HISTORY,WAR
7;The Godfather: Part II;1974;English;85;In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.;3h 22m;DRAMA,CRIME
8;Spirited Away;2001;Japanese;85;A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.;2h 5m;ANIMATION,FAMILY,FANTASY
9;Green Book;2018;English;84;Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.;2h 10m;DRAMA,COMEDY
10;The Green Mile;1999;English;84;A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.;3h 9m;FANTASY,DRAMA,CRIME
11;Life Is Beautiful;1997;Italian;84;A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.;1h 56m;COMEDY,DRAMA
12;Pulp Fiction;1994;English;84;A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.;2h 34m;THRILLER,CRIME
